날짜,종가,전일비,시가,고가,저가,거래량
2022.01.24,75000,-600,75400,75800,74700,8013306
2022.01.21,75600,-900,75800,75800,74700,15774888
2022.01.20,76500,200,76200,76700,75900,9708168
2022.01.19,76300,-700,76500,76900,76100,10598290
2022.01.18,77000,-500,77600,77800,76600,9592788
2022.01.17,77500,200,77600,77800,76900,8785122
2022.01.14,77300,-600,77700,78100,77100,10096725
2022.01.13,77900,-1000,79300,79300,77900,13889401
2022.01.12,78900,0,79500,79600,78600,11000502
2022.01.11,78900,900,78400,79000,78000,13221123
2022.01.10,78000,-300,78100,78100,77100,9947422
2022.01.07,78300,1400,78100,78400,77400,15163757
2022.01.06,76900,-500,76700,77600,76600,12931954
2022.01.05,77400,-1300,78800,79000,76400,25470640
2022.01.04,78700,100,78800,79200,78300,12427416
2022.01.03,78600,300,79400,79800,78200,13502112
2021.12.30,78300,-500,78900,79500,78100,14236700
2021.12.29,78800,-1500,80200,80200,78500,19794795
2021.12.28,80300,100,80200,80400,79700,18226325
2021.12.27,80200,-300,80600,80600,79800,10783368
2021.12.24,80500,600,80200,80800,80200,12086380
2021.12.23,79900,500,79800,80000,79300,13577498
2021.12.22,79400,1300,78900,79400,78800,17105892
2021.12.21,78100,1000,77900,78300,77500,14245298
2021.12.20,77100,-900,77600,77800,76800,11264375
2021.12.17,78000,200,76800,78000,76800,13108479
2021.12.16,77800,200,78500,78500,77400,11996128
2021.12.15,77600,600,76400,77600,76300,9584939
2021.12.14,77000,200,76500,77200,76200,10976660
2021.12.13,76800,-100,77200,78300,76500,15038750
2021.12.10,76900,-1300,77400,77600,76800,9155219
2021.12.09,78200,800,77400,78200,77000,21604528
2021.12.08,77400,0,78300,78600,77100,21558340
2021.12.07,77400,1100,76100,77700,75600,19232453
2021.12.06,76300,700,75100,76700,74900,16391250
2021.12.03,75600,-200,75600,76000,74100,18330240
2021.12.02,75800,1400,73900,75800,73800,23652940
2021.12.01,74400,3100,72000,74800,71600,21954856
2021.11.30,71300,-1000,73200,73900,70500,30364841
2021.11.29,72300,0,71700,73000,71400,16682559
2021.11.26,72300,-1400,73500,74100,72000,13002242
2021.11.25,73700,-1100,75100,75100,73600,12559258
2021.11.24,74800,-500,76000,76200,74100,15652305
2021.11.23,75300,400,76000,76000,74500,22029195
2021.11.22,74900,3700,73300,75200,73000,27506623
2021.11.19,71200,1000,70400,71400,70100,11954728
2021.11.18,70200,-500,70700,71000,70200,10144957
2021.11.17,70700,-600,71300,71600,70600,11027606
2021.11.16,71300,-100,71500,72000,71300,10919239
2021.11.15,71400,800,71700,71900,70900,12420710
2021.11.12,70600,700,70200,70900,69900,10087450
2021.11.11,69900,-300,69900,70000,69600,11489122
2021.11.10,70200,-300,70300,70900,70200,9422009
2021.11.09,70500,-100,70300,71000,70100,11159589
2021.11.08,70600,400,70400,70600,69800,11121981
2021.11.05,70200,-400,71600,71600,70200,12667743
2021.11.04,70600,200,71200,71600,70500,11818987
2021.11.03,70400,-1100,71700,71700,70100,12770428
2021.11.02,71500,1600,70800,72200,70700,16812570
2021.11.01,69900,100,70200,70600,69900,11503729
2021.10.29,69800,-900,71200,71600,69700,17016151
2021.10.28,70700,600,69500,72200,69500,20644902
2021.10.27,70100,-1000,71000,71000,70000,10295316
2021.10.26,71100,900,70600,71500,70400,10528252
2021.10.25,70200,-200,69900,70600,69500,10029621
2021.10.22,70400,200,70000,70700,70000,8395448
2021.10.21,70200,-100,70300,70600,70000,10891094
2021.10.20,70300,-300,70700,71000,70200,10151638
2021.10.19,70600,400,70800,71000,70400,9507991
2021.10.18,70200,100,70200,70300,69200,13486391
2021.10.15,70100,700,70200,71000,70000,18051612
2021.10.14,69400,600,69000,69800,68800,19520641
2021.10.13,68800,-200,68700,69600,68300,24172015
2021.10.12,69000,-2500,70700,70900,68700,31001484
2021.10.08,71500,-100,72300,72400,71500,14043287
2021.10.07,71600,300,71600,72100,71300,13683532
2021.10.06,71300,-900,72600,72800,71200,18956962
2021.10.05,72200,-1000,73000,73000,71400,24013921
2021.10.01,73200,-900,73900,74000,72900,15803395
2021.09.30,74100,0,74300,74800,73700,19919361
2021.09.29,74100,-2200,74800,75300,73800,23992458
2021.09.28,76300,-1400,77700,77800,76200,15406382
2021.09.27,77700,400,77300,77700,77000,11699798
2021.09.24,77300,-100,77600,77700,77100,12247274
2021.09.23,77400,200,77500,77600,76800,17055590
2021.09.17,77200,1100,76300,77200,75900,16289502
2021.09.16,76100,-900,77300,77400,76100,13067622
2021.09.15,77000,400,77400,77400,76400,12829128
2021.09.14,76600,300,77100,77700,76600,18167057
2021.09.13,76300,1000,75200,76300,75100,11397775
