상품명,링크,이미지링크,최저가,최고가,브랜드명
워싱 9부 찢어<b>진</b> 남자 밴딩 연<b>청바지</b> 여름,https://search.shopping.naver.com/gate.nhn?id=30234264581,https://shopping-phinf.pstatic.net/main_3023426/30234264581.20211221014700.jpg,28900,,
스판 데님 블랙<b>진</b> 남자 <b>청바지</b> <b>진</b>청 흑 빅사이즈,https://search.shopping.naver.com/gate.nhn?id=30274776517,https://shopping-phinf.pstatic.net/main_3027477/30274776517.20220103172619.jpg,28900,,
리바이스 남성 502 테이퍼드 핏 기모 <b>청바지</b> 29507-1104,https://search.shopping.naver.com/gate.nhn?id=29567148254,https://shopping-phinf.pstatic.net/main_2956714/29567148254.20220106151346.jpg,38120,,리바이스
남성 겨울 허벅돼 융기모 스판 편한 남자 <b>진</b>청 <b>청바지</b>,https://search.shopping.naver.com/gate.nhn?id=30250275126,https://shopping-phinf.pstatic.net/main_3025027/30250275126.20211222041042.jpg,19800,,
남옷꾸 남자 <b>청바지</b> 길어보이는 일자핏 팬츠 3컬러,https://search.shopping.naver.com/gate.nhn?id=30564464747,https://shopping-phinf.pstatic.net/main_3056446/30564464747.20220116202103.jpg,47900,,
뱅뱅 남성 플리스 본딩기모 스판데님 3종세트 P000788409,https://search.shopping.naver.com/gate.nhn?id=25719195800,https://shopping-phinf.pstatic.net/main_2571919/25719195800.20210123194423.jpg,16390,,뱅뱅
남자 본딩 겨울 기모 일자핏 <b>청바지</b> 535629,https://search.shopping.naver.com/gate.nhn?id=29946173904,https://shopping-phinf.pstatic.net/main_2994617/29946173904.20211205012742.jpg,34000,,
남자 테이퍼드 세미 와이드 <b>청바지</b>,https://search.shopping.naver.com/gate.nhn?id=17941316263,https://shopping-phinf.pstatic.net/main_1794131/17941316263.20190309161600.jpg,37000,,
리바이스 남성 501 93 스트레치 오리지널 <b>청바지</b> 79830-0195,https://search.shopping.naver.com/gate.nhn?id=28545652106,https://shopping-phinf.pstatic.net/main_2854565/28545652106.20220106151635.jpg,33480,,리바이스
리바이스 남성 502 테이퍼 엔지니어드 <b>청바지</b> 72775-000,https://search.shopping.naver.com/gate.nhn?id=26704283792,https://shopping-phinf.pstatic.net/main_2670428/26704283792.20210409210152.jpg,37480,,리바이스
리바이스 남성 511 슬림 핏 <b>진</b> 04511-4870,https://search.shopping.naver.com/gate.nhn?id=28719881002,https://shopping-phinf.pstatic.net/main_2871988/28719881002.20220106165110.jpg,34300,,리바이스
플랙<b>진</b> 플랙 베를린 딥 인디고 슬림일자 데님 <b>청바지</b> PJTZ5BEM525,https://search.shopping.naver.com/gate.nhn?id=23785477364,https://shopping-phinf.pstatic.net/main_2378547/23785477364.20200814231422.jpg,64970,,플랙진
