순위,제목,가수
1,아로하,조정석
2,시작,가호 (Gaho)
3,처음처럼,엠씨더맥스 (M.C the MAX)
4,이제 나만 믿어요,임영웅
5,아무노래,지코 (ZICO)
6,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
7,뭔가 잘못됐어,권진아
8,WANNABE,ITZY (있지)
9,돌덩이,하현우 (국카스텐)
10,어떻게 지내 (Prod. by VAN.C),오반
11,METEOR,창모 (CHANGMO)
12,화려하지 않은 고백,규현 (KYUHYUN)
13,그때 그 아인,김필
14,Blueming,아이유 (IU)
15,문득,노을
16,마음을 드려요,아이유 (IU)
17,ON,방탄소년단
18,늦은 밤 너의 집 앞 골목길에서,노을
19,좋은 사람 있으면 소개시켜줘,조이 (JOY)
20,뜸,WINNER
21,Psycho,Red Velvet (레드벨벳)
22,FIESTA,IZ*ONE (아이즈원)
23,반만,진민호
24,2002,Anne-Marie
25,HIP,마마무(Mamamoo)
26,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub)
27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
28,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
29,Memories,Maroon 5
30,Don't Start Now,Dua Lipa
31,안녕,폴킴
32,"다시 난, 여기",백예린 (Yerin Baek)
33,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
34,Love poem,아이유 (IU)
35,바빠서 (Feat. 헤이즈),개코
36,꽃 (flower) (Feat. 박재범 & 우원재 & 기리보이),코드 쿤스트 (CODE KUNST)
37,Square (2017),백예린 (Yerin Baek)
38,노래방에서,장범준
39,bad guy,Billie Eilish
40,조금 취했어 (Prod. by 2soo),임재현
41,잘 지내고 있는지 궁금해,V.O.S
42,시든 꽃에 물을 주듯,HYNN (박혜원)
43,새로고침 (Feat. 강민경 of 다비치),박경
44,사랑이란 멜로는 없어,전상근
45,벚꽃 엔딩,버스커 버스커 (Busker Busker)
46,우리 왜 헤어져야 해,신예영
47,사랑의 인사,씨야 (SeeYa)
48,"아무렇지 않게, 안녕",HYNN (박혜원)
49,Paris In The Rain,Lauv
50,주저하는 연인들을 위해,잔나비
51,Maniac,Conan Gray
52,Painkiller,Ruel
53,둘만의 세상으로 가,Crush
54,To Die For,Sam Smith
55,사랑에 연습이 있었다면 (Prod. by 2soo),임재현
56,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz)
57,다시 만날까 봐,V.O.S
58,포장마차,황인욱
59,찐이야,영탁
60,Comethru,Jeremy Zucker
61,Senorita,Camila Cabello & Shawn Mendes
62,어떤 날엔,김재환
63,00:00 (Zero O'Clock),방탄소년단
64,너를 만나,폴킴
65,Birthday,Anne-Marie
66,아마두 (Feat. 우원재 & 김효은 & 넉살 & Huckleberry P),염따 & 딥플로우 & 팔로알토 (Paloalto) & The Quiett & 사이먼 도미닉
67,"안녕, 오늘의 그대에게",임한별
68,기억해줘요 내 모든 날과 그때를,거미 (Gummy)
69,니 소식,송하예
70,All Falls Down (Feat. Juliander),Alan Walker & Noah Cyrus & Digital Farm Animals
71,Black Swan,방탄소년단
72,사계 (Four Seasons),태연 (TAEYEON)
73,나의 오랜 연인에게,다비치
74,"나만, 봄",볼빨간사춘기
75,솔직히 지친다,청하
76,워커홀릭,볼빨간사춘기
77,빌었어,창모 (CHANGMO)
78,Sweet Night,V
79,On My Way,Alan Walker & Sabrina Carpenter & Farruko
80,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (Maktub)
81,새 사랑,송하예
82,있어줘요,장덕철
83,Dance Monkey,Tones And I
84,친구,방탄소년단
85,그때가 좋았어,케이시 (Kassy)
86,막걸리 한잔,영탁
87,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영
88,먹구름,윤하 (YOUNHA)
89,Lonely Night,권진아
90,그대라는 시,태연 (TAEYEON)
91,"사랑, 하자",수호 (SUHO)
92,너에게 못했던 내 마지막 말은,다비치
93,Way Back Home,숀 (SHAUN)
94,여행,볼빨간사춘기
95,술이 문제야,장혜진 & 윤민수(바이브)
96,안녕,김재환
97,ROXANNE,Arizona Zervas
98,밤편지,아이유 (IU)
99,Filter,방탄소년단
100,헤어진 우리가 지켜야 할 것들,김나영 & 양다일
101,봄날,방탄소년단
102,인기 (Feat. 송가인 & 챈슬러),MC몽
103,Moon,방탄소년단
104,불티 (Spark),태연 (TAEYEON)
105,너를 사랑하고 있어,백현 (BAEKHYUN)
106,옥탑방 (Rooftop),엔플라잉 (N.Flying)
107,Shape Of You,Ed Sheeran
108,The Ocean (Feat. Shy Martin),Mike Perry
109,미친 소리,이예준
110,Nerdy Love (Feat. 백예린),pH-1
111,넘쳐흘러,엠씨더맥스 (M.C the MAX)
112,Believer,Imagine Dragons
113,미친 사랑의 노래,씨야 (SeeYa)
114,달라달라,ITZY (있지)
115,사계 (하루살이),엠씨더맥스 (M.C the MAX)
116,YOUTH,Troye Sivan
117,어느 60대 노부부이야기,임영웅
118,버릇처럼 셋을 센다,KCM
