지역,매장명,매장현황,주소,서비스,전화번호,전처리_주소,위도,경도
서울 강남구,강남우리라운지점,영업중,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 1층,주차,02-566-1002,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 1층,37.503116773,127.043062532
경남 창원시 진해구,진해경화점,영업중,경상남도 창원시 진해구 조천북로 76 (경화동) .,주차,055-547-9906,경상남도 창원시 진해구 조천북로 76,35.160342737,128.680839728
경기 고양시 덕양구,고양신원점_오픈예정,영업중,"경기도 고양시 덕양구 권율대로 896-19 1~3층(신원동, 퍼플란드)",주차,02.381-7666,경기도 고양시 덕양구 권율대로 896-19 1~3층,37.662336903,126.891768100
경기 부천시,부천심곡점_오픈예정,영업중,경기도 부천시 장말로 376  심곡동 355-1,주차,.,경기도 부천시 장말로 376  심곡동 355-1,37.489784252,126.783646599
제주 제주시,제주연북로점,영업중,제주특별자치도 제주시  오남로 166 (오라이동 1550-11),테라스 주차,070-4123-5111,제주특별자치도 제주시  오남로 166,33.481413266,126.515364191
전북 군산시,군산선유도점,영업중,전라북도 군산시 옥도면 선유도리 213-3 .,테라스 주차,063-464-9314,전라북도 군산시 옥도면 선유도리 213-3,0,0
경기 고양시 덕양구,고양삼송점,영업중,"경기도 고양시 덕양구 삼송로 222 (삼송동, 삼송역현대헤리엇) 1층 할리스",주차,070-7643-6611,경기도 고양시 덕양구 삼송로 222,37.652933956,126.899046251
서울 종로구,독립문역점,영업중,"서울특별시 종로구 통일로 230 (무악동, 경희궁롯데캐슬) 상가동  지하1층 117호",주차,010-2594-7308,서울특별시 종로구 통일로 230,37.574370317,126.958628718
전북 익산시,익산모현점,영업중,전라북도 익산시 선화로3길 16-10 1층,,063-842-8420,전라북도 익산시 선화로3길 16-10 1층,35.949994709,126.938898139
서울 강서구,마곡퀸즈파크나인점,영업중,"서울시 강서구 공항대로 247(마곡동,퀸즈파크나인) 127호,232호 1,2층",주차,02-6421-9888,서울시 강서구 공항대로 247,37.559335202,126.834911833
경기 고양시 일산서구,일산문촌마을점,영업중,"경기도 고양시 일산서구 중앙로 1493 ,상가동 1층 1001-1, 1001-2",주차,070-7797-3247,경기도 고양시 일산서구 중앙로 1493,37.672544108,126.754006252
